THING. · Hangout Prompt Library,,,,,,,,,,,,,,,,,,
Seed library for the first 4 Hangouts. 798 prompts total. Includes original THING. seeds plus Gemini variants. Hot tiers: Flirty / Bold / Spicy / KitKat. KitKat is a locked post-Spicy tier; unlock rule TBD. Adult-only with mutual consent and skip/lower-level controls.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Hangout,Engine,Round Type,Level,Prompt EN,Prompt ES,Option A EN,Option A ES,Option B EN,Option B ES,Mood,Context,Intensity,Tags,Adult,Reveal Style,Notes,Status
SB-001,Same Brain,same_brain,choice,—,pick the better late-night plan,elige el mejor plan nocturno,drive around with music,dar una vuelta con música,snacks + a movie,snacks + película,dumb,both,1,"night,lifestyle",FALSE,after_both_answer,,Approved
SB-002,Same Brain,same_brain,choice,—,best accidental free afternoon,mejor tarde libre inesperada,go somewhere,salir a algún lado,do absolutely nothing,no hacer absolutamente nada,dumb,both,1,"weekend,lifestyle",FALSE,after_both_answer,,Approved
SB-003,Same Brain,same_brain,choice,—,more elite snack,snack más top,chips,papitas,cookies,galletas,dumb,both,1,food,FALSE,after_both_answer,,Approved
SB-004,Same Brain,same_brain,choice,—,better road-trip role,mejor rol en road trip,DJ,DJ,navigator,navegador,dumb,both,1,travel,FALSE,after_both_answer,,Approved
SB-005,Same Brain,same_brain,choice,—,worse place to get stuck,peor lugar para quedarse atorado,airport,aeropuerto,IKEA,IKEA,dumb,both,1,scenario,FALSE,after_both_answer,,Approved
SB-006,Same Brain,same_brain,choice,—,better rainy-day move,mejor plan para lluvia,go out anyway,salir de todos modos,stay in,quedarse adentro,know_me,both,1,lifestyle,FALSE,after_both_answer,,Approved
SB-007,Same Brain,same_brain,choice,—,more attractive,más atractivo,confidence,seguridad,humor,humor,flirt,both,1,attraction,FALSE,after_both_answer,,Approved
SB-008,Same Brain,same_brain,choice,—,perfect breakfast,desayuno perfecto,sweet,dulce,savory,salado,dumb,both,1,food,FALSE,after_both_answer,,Approved
SB-009,Same Brain,same_brain,choice,—,better city escape,mejor escape de ciudad,mountains,montaña,beach,playa,dumb,both,1,travel,FALSE,after_both_answer,,Approved
SB-010,Same Brain,same_brain,choice,—,better concert seat,mejor lugar en concierto,front row,hasta adelante,far back with space,atrás con espacio,dumb,both,1,music,FALSE,after_both_answer,,Approved
SB-011,Same Brain,same_brain,choice,—,better spontaneous purchase,mejor compra impulsiva,food,comida,something useless but fun,algo inútil pero divertido,dumb,both,1,shopping,FALSE,after_both_answer,,Approved
SB-012,Same Brain,same_brain,choice,—,choose a superpower,elige un superpoder,teleport,teletransportarte,read minds,leer mentes,dumb,both,1,fantasy,FALSE,after_both_answer,,Approved
SB-013,Same Brain,same_brain,choice,—,more dangerous after midnight,más peligroso después de medianoche,online shopping,comprar en línea,ordering food,pedir comida,dumb,both,1,habits,FALSE,after_both_answer,,Approved
SB-014,Same Brain,same_brain,choice,—,better tiny luxury,mejor pequeño lujo,great coffee,café increíble,fresh sheets,sábanas limpias,know_me,both,1,comfort,FALSE,after_both_answer,,Approved
